t,SNR
0,3.48144256405911
0.005,-8.13737002684555
0.01,-13.1716370155433
0.015,-5.80455189260044
0.02,-4.18845273905583
0.025,-8.44945467378091
0.03,-19.7719723612627
0.035,-7.08467882561359
0.04,-14.949750870343
0.045,-15.5028479121461
0.05,-3.30255617713125
0.055,-10.0314398543335
0.06,-10.2745340349322
0.065,-8.32149135618747
0.07,-4.5746901541075
0.075,-5.70241414262355
0.08,-15.4438381518546
0.085,-5.58515757147062
0.09,-7.25440195941266
0.095,-8.22602472143527
0.1,-5.96189975083554
0.105,0.0926292408360894
0.11,-4.56606115483645
0.115,-19.7289283011942
0.12,-6.35371446798628
0.125,-5.00764252802288
0.13,-9.1796933208922
0.135,-6.26787570648719
0.14,0.988253467109871
0.145,-5.95037740535238
0.15,1.11369378977761
0.155,-5.77962877216561
0.16,-10.1924773173112
0.165,-9.94183957902747
0.17,-18.8551824842823
0.175,-6.25042462004954
0.18,-13.4091955504624
0.185,-3.07733673312966
0.19,-9.71599331112849
0.195,-14.2991398863979
0.2,-17.6048041213551
0.205,-14.6608306217104
0.21,-12.1994927473415
0.215,-9.46657699248789
0.22,-7.72818935940685
0.225,-8.9439648567475
0.23,-2.56479853391534
0.235,-5.52374659257784
0.24,-14.8252520164931
0.245,-11.8275172609595
0.25,-6.58880854246317
0.255,-12.4074022132611
0.26,-0.554519872805045
0.265,-7.44359147634729
0.27,-10.3262700565653
0.275,-5.94125340876855
0.28,-0.486084850606957
0.285,-9.39043970829582
0.29,-5.35597742664383
0.295,-15.2413143274722
0.3,-6.65105611201453
0.305,0.220291888131612
0.31,-1.92895001724672
0.315,-2.74989767288841
0.32,-12.3518038975263
0.325,-1.88812954171129
0.33,-8.9593378098054
0.335,-10.2611909997013
0.34,-14.6651212477405
0.345,-4.57798442695696
0.35,-2.35409057644875
0.355,-12.4230043834262
0.36,-1.16512793327612
0.365,-3.92469300234737
0.37,-0.543709825378372
0.375,-2.92455314466088
0.38,-5.74714926445884
0.385,-8.01860146733449
0.39,-15.0242887190615
0.395,-23.8316229656922
0.4,-11.8442186192443
0.405,-1.07969172133238
0.41,-3.83799229556621
0.415,-8.46517278166729
0.42,-14.0734376416082
0.425,-11.3217042583777
0.43,-9.14554267194006
0.435,-10.369425735551
0.44,-8.17302274965603
0.445,-8.55819161958614
0.45,-8.51760338510698
0.455,-12.2816231041799
0.46,-3.86715588632384
0.465,-6.7471328171369
0.47,-5.68357337039109
0.475,1.90388770315323
0.48,-9.86245062012239
0.485,-5.56345878829791
0.49,-2.24424699666935
0.495,-3.00604718599608
0.5,-8.86371478985794
0.505,-14.6439674769308
0.51,-3.96594775082788
0.515,-21.7109050403849
0.52,-7.4368975156722
0.525,-10.6385890537055
0.53,-9.9862807621776
0.535,-19.622517365808
0.54,-0.509425346752209
0.545,-10.5807643262301
0.55,-20.0727295732639
0.555,-12.8776328927768
0.56,-3.31099577179188
0.565,-7.39515526661101
0.57,-2.59590927027936
0.575,-3.81592915852542
0.58,-5.66252553869489
0.585,-12.8415376702923
0.59,-18.1648464309049
0.595,-5.53113054609987
0.6,-9.40621845163477
0.605,-4.57875494324418
0.61,-12.0473641579043
0.615,-5.11169364842362
0.62,-30.0159808126898
0.625,-9.95861632288552
0.63,-15.4826991299144
0.635,-5.9291122811605
0.64,-11.7434619609164
0.645,-4.47548174491656
0.65,-27.0273903118588
0.655,-0.487182439064242
0.66,-12.2392744819054
0.665,-8.22795654335533
0.67,-2.60024256674502
0.675,-10.1071415651067
0.68,-6.89902162904414
0.685,-6.72837406382931
0.69,-18.8809901018895
0.695,-15.2722288728101
0.7,-0.00262070580166096
0.705,-7.6083960395687
0.71,-12.9478428912899
0.715,-13.9765551617803
0.72,-6.12040049513737
0.725,-16.1166876236037
0.73,-5.56710507663858
0.735,-8.1412848877044
0.74,-1.06143271581527
0.745,-8.96544993011099
0.75,-14.2390141109558
0.755,-7.6996049597259
0.76,-14.5807071152539
0.765,2.27094233250493
0.77,-7.48493158941432
0.775,-0.825701005117793
0.78,-6.08389031248811
0.785,-5.53358501750091
0.79,-6.01924236522643
0.795,-14.7338312059395
0.8,-13.1210303999646
0.805,-7.01853258041024
0.81,-3.92847761072946
0.815,-5.7008973837921
0.82,-24.3319240605727
0.825,-10.9575331192703
0.83,-3.6473209755376
0.835,-3.6844402039234
0.84,-8.89611777505471
0.845,-4.93070827234715
0.85,-9.52034732703103
0.855,-11.3123820814233
0.86,-1.11024292740066
0.865,1.8607916051181
0.87,-3.38880206503197
0.875,0.790193941256064
0.88,-13.3174487884846
0.885,-8.02796884861628
0.89,-10.0762825585658
0.895,-5.41950099623641
0.9,-2.24023998179246
0.905,1.81507362186332
0.91,-11.2847184681141
0.915,-10.9777454982258
0.92,-16.5133236248351
0.925,-3.67416599208588
0.93,-8.23686937797572
0.935,-5.44687419828382
0.94,-6.95929198156171
0.945,-6.33311423247019
0.95,-0.766869623685253
0.955,-11.4565217152618
0.96,-2.05574940763711
0.965,-6.26250531466988
0.97,-4.63980082284473
0.975,-8.03226420267202
0.98,-10.8556088859697
0.985,0.173937994304396
0.99,-0.615915792274663
0.995,-12.516486610298
1,-8.05900363121289
1.005,-2.54520181241213
1.01,-8.27192436215672
1.015,-6.61494111889675
1.02,-3.03147254058761
1.025,-3.26664158624189
1.03,-4.18285367239028
1.035,-7.65226930778238
1.04,-4.75299917697802
1.045,-7.10435801675528
1.05,-8.56879333481065
1.055,2.48094919154471
1.06,-19.2124715477362
1.065,-13.6673382696369
1.07,-7.38994917400736
1.075,4.2279117638104
1.08,-8.65698141557111
1.085,-4.11618094953261
1.09,-6.4298563496951
1.095,-0.265844704628819
1.1,3.20188116697886
1.105,-8.14463637747563
1.11,-8.14668482876618
1.115,5.7794477959184
1.12,3.21709493720695
1.125,-11.2155140785143
1.13,4.21434321886831
1.135,5.46665105697514
1.14,-14.5273602103029
1.145,-5.09062107466337
1.15,-0.92558800561541
1.155,5.0119146680607
1.16,-4.68185181912295
1.165,-5.4019530044722
1.17,-4.23966101995936
1.175,-24.7406715734916
1.18,3.79449225593463
1.185,0.722190757306549
1.19,-1.14954245415771
1.195,-0.165276922627811
1.2,-13.5395707603293
1.205,5.67834147029275
1.21,3.29728888032228
1.215,0.584094360259598
1.22,4.77648987884473
1.225,0.658660399636886
1.23,-7.24796375774363
1.235,-5.64874107488265
1.24,-0.709948143915383
1.245,-2.95692830723594
1.25,3.49119294106424
1.255,2.66438919312156
1.26,1.46777755400288
1.265,-1.76223250335629
1.27,-8.09002139946793
1.275,-1.44911763670088
1.28,2.36544612463088
1.285,0.79241849027693
1.29,-35.2401628004128
1.295,-9.77676845316073
1.3,-17.2695233372254
1.305,1.83092109258858
1.31,-5.30637912164458
1.315,-2.10809717542912
1.32,2.0659224587164
1.325,4.4772193644245
1.33,-7.57643431410862
1.335,-1.4061760142211
1.34,2.16456243913845
1.345,4.21421110679086
1.35,-12.1421022372942
1.355,-4.35318423725754
1.36,3.65264425109407
1.365,0.187119947773709
1.37,-0.160586612507984
1.375,0.387012909710677
1.38,-1.82769529240012
1.385,-6.83339410579617
1.39,2.44391916963788
1.395,-18.4260486695765
1.4,-10.9098049810719
1.405,-13.9303828457087
1.41,9.87652273323525
1.415,-7.87357405613608
1.42,5.734541617517
1.425,4.45107228797684
1.43,6.0219080279287
1.435,1.05914009750992
1.44,0.373520247750548
1.445,-5.26311197182871
1.45,0.878584410445654
1.455,-1.08820861824695
1.46,-3.79815253937915
1.465,-0.640218734756786
1.47,8.50263820891713
1.475,2.50639600629248
1.48,-12.369986663943
1.485,2.01592724736624
1.49,0.840465683409292
1.495,1.28427487068674
1.5,-16.9606184817056
1.505,4.94277310506426
