t,SNR
0,-3.05695925111718
0.005,-3.72123675235299
0.01,-7.58455067428017
0.015,-0.964575836140881
0.02,-5.27231676166862
0.025,-17.5406591109344
0.03,-4.13478642130386
0.035,-2.63193837576367
0.04,-14.9328820703554
0.045,-5.56150213687381
0.05,-4.20537053244387
0.055,-14.1579317872183
0.06,-3.11366667638285
0.065,-17.9634416158231
0.07,-3.00787616982559
0.075,-0.069147643215004
0.08,-0.0454084531564973
0.085,-3.13661906640053
0.09,0.22994295428596
0.095,2.0333763605598
0.1,1.8949806357724
0.105,-7.3480393471379
0.11,3.40391577556557
0.115,-0.289293554921812
0.12,1.73996909168341
0.125,1.74290141853406
0.13,-0.605555401147626
0.135,2.96793471812791
0.14,4.59285369706257
0.145,4.29437136754194
0.15,5.06207734294205
0.155,2.69849978986193
0.16,5.25447809620262
0.165,3.10382915893305
0.17,2.83517682909905
0.175,5.29633891459756
0.18,5.45531251316392
0.185,5.77469289520914
0.19,5.95876849497819
0.195,4.98587873866377
0.2,5.96290766300186
0.205,6.57138162629231
0.21,5.38920519148664
0.215,6.14256585019676
0.22,5.48213709819723
0.225,7.81946488822163
0.23,5.28314733007923
0.235,5.69310336903791
0.24,7.54965749380253
0.245,6.22184112029453
0.25,7.05132429076983
0.255,5.11582209619459
0.26,5.3362689890015
0.265,6.22920443355153
0.27,7.47822186732975
0.275,6.64626492523976
0.28,5.08796512464636
0.285,7.56157740840251
0.29,7.94103897053041
0.295,4.02384251242015
0.3,5.80050277648901
0.305,3.61924451601449
0.31,2.60692652598215
0.315,6.04184146199975
0.32,4.67326564358375
0.325,3.74390807462072
0.33,2.95289562258949
0.335,2.42500708414116
0.34,1.67738971573604
0.345,-3.10382377974253
0.35,1.54428215673316
0.355,3.13513255577348
0.36,-1.57243331443182
0.365,1.33529673780323
0.37,1.5785785130529
0.375,-2.98752519706343
0.38,0.0448273525906302
0.385,-26.8175244853899
0.39,-5.4205037053714
0.395,-11.169032331391
0.4,-6.6735518392381
0.405,-5.54214387541131
0.41,-13.0067587592404
0.415,-4.05145512533437
0.42,-10.5160758400575
0.425,-8.95079504145451
0.43,3.49453354626213
0.435,-6.94603495652589
0.44,-0.833486109046717
0.445,-4.60048459003693
0.45,2.25403967398516
0.455,-0.658530376466501
0.46,1.33874419814614
0.465,4.77672327660048
0.47,2.94967983141755
0.475,-2.32876192202701
0.48,4.00715398646294
0.485,0.540063777869292
0.49,-3.56666055271133
0.495,4.0807391240009
0.5,4.8557225438922
0.505,5.04475093370546
0.51,4.64669238471234
0.515,5.46301901958341
0.52,7.37321872813752
0.525,5.38972564601674
0.53,5.25223698782924
0.535,8.92143378204369
0.54,6.18092310675011
0.545,9.35177692711792
0.55,5.83533278087637
0.555,6.458822401571
0.56,5.3830459905695
0.565,5.96317604273055
0.57,7.54777131852788
0.575,6.15712329103064
0.58,6.30602481708068
0.585,7.23171694665753
0.59,6.12585008547465
0.595,4.60150579550594
0.6,6.61469685363895
0.605,8.74809634836029
0.61,8.97504083889334
0.615,2.62847062738716
0.62,4.41130409782633
0.625,5.30380584874365
0.63,-0.540766053498004
0.635,5.63388326661067
0.64,6.04958546976249
0.645,4.88674554615339
0.65,0.869429226923984
0.655,3.4545454622255
0.66,0.982541997446759
0.665,-11.208745115732
0.67,6.30186513446807
0.675,-2.32480557472532
0.68,-2.40061313482461
0.685,2.15896258500041
0.69,-20.5413969627252
0.695,-2.42203001668713
0.7,-4.93858049503146
0.705,-4.2563190315152
0.71,-12.7457936195765
0.715,1.20121577377709
