t,SNR
0,16.2870979869306
0.005,21.6453769420432
0.01,18.979498559475
0.015,17.1735422391311
0.02,20.9195340235512
0.025,23.7823671019815
0.03,22.08742303778
0.035,18.9890008781562
0.04,22.4797934159769
0.045,20.7307625954632
0.05,19.4411690071683
0.055,23.0795073510997
0.06,20.4250916154601
0.065,22.6206920355158
0.07,19.1115601419706
0.075,16.7251532172597
0.08,20.4399701451969
0.085,10.5840734604517
0.09,19.8582285989315
0.095,20.5280747802246
0.1,19.0640674423905
0.105,19.7006072210125
0.11,19.3330946491997
0.115,21.6846654455384
0.12,20.3478417753208
0.125,19.9727689142316
0.13,16.4514569012705
0.135,17.5388531188265
0.14,19.5219028601726
0.145,18.8493798159093
0.15,21.2162998140718
0.155,18.8879852069273
0.16,16.7990066737544
0.165,21.0745049343804
0.17,19.6208714401291
0.175,21.0822421627416
0.18,20.6254597621544
0.185,20.6840007802143
0.19,22.5415977750709
0.195,19.7631121789463
0.2,15.2445184721553
0.205,21.3098315219309
0.21,16.6369616190906
0.215,18.321739520886
0.22,16.8998939301709
0.225,21.7259708346087
0.23,21.5664232249569
0.235,20.7897523945159
0.24,21.0573650655979
0.245,14.8572704012686
0.25,21.6699424419702
0.255,22.5158507237715
0.26,20.9953848545702
0.265,23.0483270623102
0.27,20.4568165017091
0.275,21.9926559000812
0.28,21.4274850131078
0.285,14.9882574895837
0.29,22.4379481243731
0.295,16.857467943137
0.3,20.9555434204048
0.305,21.1709917891388
0.31,18.3912802226214
0.315,23.1954485098648
0.32,19.4652357607343
0.325,23.4151600447668
0.33,22.0023110548757
0.335,22.8456932956777
0.34,21.6669865251066
0.345,18.1850694885923
0.35,19.9150687773021
0.355,15.3782407540848
0.36,20.6980173664624
0.365,19.9862714004608
0.37,20.0381725972728
0.375,21.990453811848
0.38,22.4548343933636
0.385,23.1871332411203
0.39,25.041398145864
0.395,20.6178324706735
0.4,21.9344716171026
0.405,23.2829112678133
0.41,20.278815363661
0.415,21.4815400694581
0.42,17.1100740090161
0.425,21.358426852474
0.43,17.4999524544237
0.435,20.05663506233
0.44,20.9727762684093
0.445,19.7616105575939
0.45,22.8934629180125
0.455,15.3579873430686
0.46,24.1083849466042
0.465,22.6989866889515
0.47,17.9625384585382
0.475,23.1942179096528
0.48,19.6789493482522
0.485,21.228786228662
0.49,22.8703429302441
0.495,19.4977031892186
0.5,21.6303129850893
0.505,20.1624558118907
0.51,23.8802033043268
0.515,21.0657298716799
0.52,20.1248413036689
0.525,21.3715559518365
0.53,18.6584389552359
0.535,19.3459644229815
0.54,21.5969140776912
0.545,21.3717591480048
0.55,21.1222016295447
0.555,16.9011132942029
0.56,24.3346779026111
0.565,19.2849001805406
0.57,19.1246877402426
0.575,24.0314339760018
0.58,16.286160216577
0.585,22.5482882809335
0.59,21.952738555779
0.595,18.4193842893855
0.6,23.3519119702727
0.605,18.6690370237936
0.61,17.4276324217028
0.615,18.3255558052871
0.62,21.9241629188604
0.625,22.3830138502225
0.63,18.8936123794459
0.635,23.8039465356322
0.64,18.7894249427001
0.645,23.2872841532485
0.65,23.8895853489731
0.655,15.8720515930877
0.66,24.0594598779733
0.665,20.2288359105414
0.67,19.9865600225228
0.675,20.8843706717814
0.68,19.6964893066854
0.685,21.0525094581926
0.69,20.1493704057087
0.695,19.4548932636722
0.7,24.5402852828226
0.705,21.4497895219116
0.71,21.865964051489
0.715,19.8876695468026
0.72,17.3095822894447
0.725,17.1883044147171
0.73,15.718785578542
0.735,19.1710956334503
0.74,16.9899763669447
0.745,20.2470195019477
0.75,23.7408125346906
0.755,16.8504794422776
0.76,22.9699765069438
0.765,20.711037963895
0.77,21.5700650917273
0.775,22.5509314304868
0.78,17.1232293876207
0.785,19.8282326306039
0.79,14.6175187479526
0.795,21.0041525600375
0.8,20.0234956164014
0.805,17.5885092892425
0.81,25.591121145264
0.815,20.907190002923
0.82,24.0443609014489
0.825,23.2331153744414
0.83,18.7335388004317
0.835,23.1858471376012
0.84,20.887767797022
0.845,18.8123449376018
0.85,22.311207322781
0.855,19.4981145267809
0.86,23.814215426336
0.865,16.6783340283039
0.87,22.8313692305097
0.875,21.4567825138755
0.88,27.4512034877434
0.885,24.5600912154034
0.89,22.7509926163212
0.895,22.9508029577813
0.9,21.2176028218173
0.905,19.4925655710969
0.91,24.1597553455234
0.915,18.8246734476325
0.92,22.7494706963769
0.925,21.084498567268
0.93,21.6461630401808
0.935,22.1886699301478
0.94,21.102512572941
0.945,22.3658610146973
0.95,23.0834733235696
0.955,19.1821450519169
0.96,22.025491315765
0.965,13.8300477599015
0.97,22.7307059796211
0.975,21.0258720733492
0.98,19.9157152621086
0.985,23.5803102161685
0.99,18.4739939679458
0.995,19.7084163053927
1,17.2577583512889
1.005,22.1613075935067
1.01,22.0415785107316
1.015,20.8034540360482
1.02,23.6540560023977
1.025,21.0174779713129
1.03,21.5291393885951
1.035,20.5570238964414
1.04,23.2893389620784
1.045,23.2434904481329
1.05,19.9996891682219
1.055,24.0155041493691
1.06,22.8530107920292
1.065,19.0170453877475
1.07,19.3700449222986
1.075,21.3571825793525
1.08,20.0333373644423
1.085,18.9456542848409
1.09,24.3550885060746
1.095,24.9193024232111
1.1,20.9461643826478
1.105,23.5860432633861
1.11,22.5719873553577
1.115,18.250827295278
1.12,23.4653899513576
1.125,3.20193951293962
1.13,23.9173893309957
1.135,21.6941312779177
1.14,21.2569890745412
1.145,21.1932957056884
1.15,21.0600812458866
1.155,19.8137593608825
1.16,22.731136227125
1.165,19.2962388589376
1.17,22.6069369157591
1.175,16.6201582480113
1.18,22.431658402801
1.185,22.8833971834941
1.19,21.4623173252527
1.195,21.7282028548322
1.2,20.8356548920162
1.205,24.4427212897267
1.21,24.6174007941144
1.215,20.3688835375935
1.22,24.4545692600059
1.225,17.3015994430945
1.23,22.692748178479
1.235,21.7265328863185
1.24,21.7439301877279
1.245,21.7272654557968
1.25,18.7967510765166
1.255,25.457116885336
1.26,18.2651643772638
1.265,21.3128154825985
1.27,21.8596367741601
1.275,21.5827079716572
1.28,23.8632590896608
1.285,22.2245695754365
1.29,22.4142227229606
1.295,16.8756102030978
1.3,23.451445014989
1.305,24.1852791562056
1.31,12.7894972806995
1.315,22.07312802064
1.32,22.7965079398653
1.325,23.7471522371879
1.33,17.3710898420602
1.335,19.0963184588211
1.34,21.9999127170021
1.345,23.0172811014322
1.35,17.0213297855551
1.355,22.7179456766181
1.36,21.0634312494254
1.365,21.9467988335524
1.37,20.6368548563961
1.375,25.3731643147924
1.38,22.6737707488934
1.385,20.0656766246738
1.39,22.3237428476859
1.395,22.3043323639777
1.4,19.5373626608775
1.405,23.7232412649112
1.41,16.2277182046294
1.415,22.2763213546233
1.42,23.5625896459488
1.425,21.4142686486438
1.43,18.4165710623687
1.435,20.179010646272
1.44,23.6033354560465
1.445,18.9675056368435
1.45,21.08314135265
1.455,24.5286223758979
1.46,20.3716373167837
1.465,22.130726148215
1.47,23.3024266651022
1.475,21.3420260306857
1.48,24.0800086919754
1.485,20.8960312997212
1.49,24.1312864157605
