t,SNR
0,15.0930750827902
0.005,14.9491923373157
0.01,14.2085428307175
0.015,13.1245080118992
0.02,11.3933073699469
0.025,8.91282664175156
0.03,6.81921063629963
0.035,7.04509732173572
0.04,9.2961535217681
0.045,11.709533515833
0.05,13.2499439544487
0.055,14.4334620170557
0.06,15.0098030691977
0.065,15.1315040126914
0.07,14.8283478491035
0.075,14.0512449399477
0.08,12.7519174977583
0.085,11.0404705037509
0.09,8.72984877612255
0.095,6.89033858199035
0.1,7.33987480568317
0.105,9.55730668980399
0.11,11.5977298019308
0.115,13.2782909354727
0.12,14.3978988356245
0.125,14.9850941962475
0.13,15.1783354624948
0.135,14.9894890832301
0.14,14.4076819409119
0.145,13.2975509541076
0.15,11.7846976836354
0.155,9.81597469293669
0.16,7.77605002767523
0.165,7.01857147836374
0.17,8.39373477800287
0.175,10.3374484007331
0.18,12.2111968501477
0.185,13.7063249448106
0.19,14.5522645910185
0.195,15.0485991232197
0.2,15.2166551194864
0.205,15.006160910195
0.21,14.405426979973
0.215,13.485427831594
0.22,12.1822258929014
0.225,10.4954013397814
0.23,8.44858845084835
0.235,7.25022283552909
0.24,7.78653082327936
0.245,9.7037807997396
0.25,11.3710613019141
0.255,12.8811504548172
0.26,13.9988697651645
0.265,14.7987895667865
0.27,15.1582582947266
0.275,15.2485017896662
0.28,15.0216703841257
0.285,14.4692988607124
0.29,13.6664775343605
0.295,12.4255095873734
0.3,10.9705215559137
0.305,9.13990197531358
0.31,7.0079516635324
0.315,4.722641027111
0.32,5.01608629946432
0.325,5.55945914015716
0.33,10.8814648095081
0.335,13.4045485903916
0.34,14.9492802023234
0.345,16.2429483089463
0.35,16.5344923463212
0.355,15.6748830507424
0.36,14.2989594139804
0.365,13.1096920630317
0.37,12.7493767235714
0.375,12.4366015924109
0.38,12.2690579042905
0.385,12.7261385561185
0.39,11.6881319992163
0.395,11.4090057521705
0.4,9.83526388827278
0.405,12.3372452715835
0.41,11.3675671921292
0.415,11.4825998815986
0.42,11.4984097339915
0.425,12.1255503498769
0.43,12.7939508867829
0.435,14.2246980242381
0.44,15.6281408421391
0.445,15.9288983982701
0.45,16.2308566252804
0.455,15.7524437861572
0.46,15.1571510856531
0.465,13.7961569827337
0.47,12.334502085703
0.475,10.6248041137075
0.48,9.07991839817075
0.485,8.27671228030648
0.49,8.29898973258567
0.495,8.38946019774082
0.5,9.27967019711642
0.505,10.9282751110941
0.51,12.0807035415159
0.515,12.5727036995645
0.52,13.6563176927098
0.525,13.5993953293871
0.53,13.5196187115739
0.535,13.9397516292932
0.54,14.269528881173
0.545,14.4551397409955
0.55,15.1359654828623
0.555,15.6265780249069
0.56,16.1930840823526
0.565,15.6724388965494
0.57,15.4873603006734
0.575,14.5136012767683
0.58,13.3036536756264
0.585,12.2351578614123
0.59,11.1832306118655
0.595,10.5314556079479
0.6,9.76291343385594
0.605,9.69611652877497
0.61,9.47215205689503
0.615,9.2645069777286
0.62,9.3327110372372
0.625,9.32338703109589
0.63,9.76059616952706
0.635,10.3642671767006
0.64,10.6764885119296
0.645,11.2558461881137
0.65,11.9867742256578
0.655,12.7095911736064
0.66,13.5479212565628
0.665,14.1619183688497
0.67,14.7106113455379
0.675,15.0908017179168
0.68,15.2203624956411
0.685,15.1644764486816
0.69,15.272709609835
0.695,15.2568676127355
0.7,15.2119368832778
0.705,15.2702684976055
0.71,15.2435039852488
0.715,15.1156026625063
0.72,14.9925524551208
0.725,14.8065757868408
0.73,14.540262488397
0.735,14.2030461752935
0.74,13.8226174055972
0.745,13.442029055013
0.75,13.0267624714734
0.755,12.5971931507958
0.76,12.1180988647643
0.765,11.7590262802964
0.77,11.1610468025995
0.775,10.7069174729678
0.78,10.2626355151691
0.785,9.98011073617918
0.79,9.44541011465911
0.795,9.15230843562763
0.8,8.68361515818492
0.805,8.33215797209725
0.81,8.04752428237862
0.815,8.19946064033388
0.82,8.44684386580531
0.825,8.63335179101773
0.83,8.7336989856788
0.835,8.67086353290694
0.84,8.79612593021881
0.845,8.68992007698175
0.85,9.22324700438389
0.855,9.64911912513054
0.86,10.0829315493309
0.865,10.3922801287767
0.87,10.3857472416032
0.875,10.4366267350008
0.88,10.4584723069784
0.885,10.7738911260431
0.89,11.1282541572169
0.895,11.6766033718615
0.9,11.6952006935658
0.905,11.3201149627322
0.91,11.1805276185439
0.915,11.386938496127
0.92,11.9640284599314
0.925,12.384949034374
0.93,12.3269238257077
0.935,11.7596589382397
0.94,11.5283307588559
0.945,12.1523301713245
0.95,12.5452682451321
0.955,12.1386984212163
0.96,11.8196384273007
0.965,11.6890130225278
0.97,11.9448387312028
0.975,12.4017680527358
0.98,12.1783545751516
0.985,11.750095708346
0.99,11.3260590064463
0.995,11.2446917608998
1,11.7573250493042
1.005,11.5957318446303
1.01,11.118255362944
1.015,10.32409880129
1.02,10.5514214229128
1.025,11.6789108977089
1.03,10.693075933968
1.035,9.36017826450176
1.04,9.4964947842913
1.045,10.5338625629401
1.05,9.7388848281941
1.055,8.37735189801717
1.06,8.72092038543883
1.065,9.61228698408783
1.07,8.35654309714025
1.075,7.51030115254758
1.08,8.35821519974569
1.085,9.09697284575685
1.09,8.76219617048417
1.095,8.19857883258929
1.1,8.54140256382848
1.105,9.99889670394731
1.11,9.65721057431273
1.115,8.95759930536367
1.12,12.0206185417115
1.125,10.6470564831608
1.13,10.4518198457134
1.135,11.9811430201821
1.14,12.4046022379473
1.145,12.6852165468735
1.15,12.6881837324094
1.155,13.4129630868868
1.16,14.1022856044145
1.165,14.5161729137631
1.17,14.1649350634733
1.175,15.0790105720195
1.18,14.760375930416
1.185,15.2803198299826
1.19,15.9023857816478
1.195,15.6692958791381
1.2,15.0016003888955
1.205,14.0505759441306
1.21,16.3186637211728
1.215,15.390490427667
1.22,15.3483044949098
1.225,14.5705675773028
1.23,11.6389628588153
1.235,13.7880200181754
1.24,14.6600517248846
1.245,13.4602230478262
1.25,13.136095344527
1.255,11.1001270739014
1.26,6.09715749707763
1.265,9.66511777512117
1.27,9.7861955091727
1.275,8.07123621134301
1.28,7.60022773479939
1.285,7.33070988628106
1.29,6.829385884576
1.295,11.0673748340306
1.3,6.45539417235109
1.305,6.46545255147987
1.31,12.3745137906068
1.315,12.7205103685118
1.32,14.272681693325
1.325,14.0668118398467
1.33,12.5502421124245
1.335,14.3489783444224
1.34,11.640222387969
1.345,14.6775648329732
1.35,15.6971126719754
1.355,15.7559736220071
1.36,15.3528310455621
1.365,16.9863347560093
1.37,15.044605601881
1.375,15.3398866060146
1.38,13.4366091994104
1.385,10.310596762137
1.39,11.0597524200237
1.395,10.88594746731
1.4,8.7547879772403
1.405,14.0803617793601
1.41,9.10145595230441
1.415,8.7909991106911
1.42,5.38637751741264
1.425,11.8942460567975
1.43,12.6428137118247
1.435,14.0150554755769
1.44,15.0307888995498
1.445,14.7769512801667
1.45,15.5964969631973
1.455,14.8087379952781
1.46,15.3348930876904
1.465,15.8155391631171
1.47,15.808309439876
1.475,14.4756455050406
1.48,10.1394972861917
1.485,11.6763480391153
1.49,9.99083744251594
1.495,8.88371960005819
1.5,9.86996222900711
1.505,8.88606383973598
1.51,7.76088729040326
1.515,10.4868321563132
1.52,12.8373560539299
1.525,12.9542886429336
1.53,14.1524811155314
1.535,12.1182185540877
1.54,14.4819147434716
1.545,14.0610405473135
1.55,15.2676563949211
1.555,14.5290510354935
1.56,14.4024650299605
1.565,14.0131563065702
1.57,11.0726423490133
1.575,11.37364287423
1.58,8.32798020393223
1.585,6.30236464637849
1.59,8.82537929416512
1.595,7.86655497437164
1.6,11.4472804705041
1.605,12.5740691355618
1.61,13.8018901401884
1.615,14.505272720746
1.62,14.7328614970527
1.625,15.5494724675339
1.63,15.4720094293787
1.635,15.2046666229667
1.64,14.0964133890902
1.645,14.229351671122
1.65,11.9817085370848
1.655,10.4807024030457
1.66,8.11917566011005
1.665,7.45303306642032
1.67,7.37008322216208
1.675,11.1508948406021
1.68,11.1543822787942
1.685,12.9262677852803
1.69,13.3563082879643
1.695,15.8189744531072
1.7,13.9682215247349
