t,SINR
0,55.4210247335115
0.005,62.1321617523129
0.01,61.3752486731018
0.015,60.262936486137
0.02,62.7074043288667
0.025,61.5976598083592
0.03,60.1926223405627
0.035,60.4625440159726
0.04,61.2360979572211
0.045,61.6130926956328
0.05,60.9392764674876
0.055,59.8414738718042
0.06,60.5072462647409
0.065,62.3690487254959
0.07,61.4244387409432
0.075,60.9064216470492
0.08,61.9295628953526
0.085,60.9248668921375
0.09,61.5897052948713
0.095,61.4659089991546
0.1,59.3449947645726
0.105,61.609264233102
0.11,60.2548225549925
0.115,63.1370574103887
0.12,60.4768253505389
0.125,57.0041189347384
0.13,61.2558467153573
0.135,63.8664743316584
0.14,59.0810252402132
0.145,60.3387574747758
0.15,60.3675230508778
0.155,59.3410615681899
0.16,60.7010903207059
0.165,60.5926198575756
0.17,60.6990249451764
0.175,61.3665454152354
0.18,60.2344741587838
0.185,61.9213549188492
0.19,59.1431052913148
0.195,59.9353813471418
0.2,60.9258450663152
0.205,60.0161997414719
0.21,60.5226239310222
0.215,60.1382832209695
0.22,60.8188694072744
0.225,60.072469784488
0.23,61.5599892843311
0.235,61.6067650182009
0.24,62.1182505015686
0.245,60.6439686916443
0.25,61.0433778916346
0.255,61.1316367535372
0.26,59.3774043772428
0.265,59.6928605633552
0.27,61.8120286041102
0.275,59.5568493444697
0.28,59.0516569826604
0.285,59.8676358264119
0.29,60.7042863226877
0.295,63.1447715598517
0.3,59.8944427240636
0.305,59.4666802198823
0.31,62.2331689898959
0.315,60.4932359386228
0.32,61.5162156293837
0.325,60.8605571372502
0.33,59.987858375522
0.335,59.509029113599
0.34,61.1877615815203
0.345,61.2745797323003
0.35,59.24262042276
0.355,59.5339062548404
0.36,59.2365644650724
0.365,60.6064546649911
0.37,59.3399560379075
0.375,60.4083343235008
0.38,58.7570212276271
0.385,59.4379950846945
0.39,59.9917160304545
0.395,60.382469101929
0.4,60.4103698985838
0.405,59.6747358202041
0.41,58.5687833173406
0.415,59.2108764523414
0.42,60.9079367952014
0.425,60.501919669383
0.43,59.6569833008278
0.435,59.2401143096102
0.44,57.463844875798
0.445,58.4090132326421
0.45,61.3165855866285
0.455,60.4901911343309
0.46,59.3818953266561
0.465,58.7704165970829
0.47,59.2419870425931
0.475,58.6147378778656
0.48,59.5985798076673
0.485,60.29881487653
0.49,59.527273579295
0.495,60.2160496919607
0.5,57.3151016511631
0.505,58.6711730527357
0.51,58.6958367447641
0.515,58.9138815308566
0.52,60.9430862688436
0.525,60.7375395891784
0.53,60.3701115683046
0.535,56.6451027033614
0.54,57.7234403219279
0.545,60.5975086510769
0.55,59.6879802952763
0.555,59.1737902215934
0.56,61.2537026575862
0.565,59.65570010941
0.57,57.9964281009309
0.575,57.2394726499472
0.58,57.7040480108356
0.585,59.7795708552965
0.59,60.4811057705066
0.595,61.8347856738908
0.6,60.2172772943822
0.605,59.8398638459698
0.61,57.5726517203156
0.615,56.8091181666126
0.62,57.772689958106
0.625,57.896053212544
0.63,58.7258710866463
0.635,60.0478001409109
0.64,58.9303499035941
0.645,58.2472653852837
0.65,58.2447273297133
0.655,56.1115950710756
0.66,56.6877233222591
0.665,59.1637399896182
0.67,58.8823340490987
0.675,59.5418450905469
0.68,60.6471595099697
0.685,59.8826374156567
0.69,59.2429826906997
0.695,56.4789404587232
0.7,56.9276253481578
0.705,57.2531016897578
0.71,56.4208243135532
0.715,57.8640544433869
0.72,57.819447201022
0.725,60.5747371568676
0.73,57.7103055583629
0.735,61.1561656878642
0.74,58.9045800492858
0.745,57.3993308077258
0.75,57.7979675777953
0.755,57.1128978564697
0.76,56.5007290720302
0.765,57.1104793365568
0.77,56.5088573337941
0.775,58.0081746052175
0.78,57.8353717511354
0.785,57.2476034907128
0.79,57.4154663652211
0.795,57.1496770872086
0.8,56.7154634674257
0.805,57.0659132914435
0.81,54.3666951064394
0.815,55.9160959566911
0.82,55.5450048154069
0.825,56.4203068611484
0.83,59.0398594434197
0.835,58.3498020629621
0.84,63.3425054322829
0.845,59.404674723368
0.85,57.3260917519999
0.855,58.1921367951531
0.86,56.2040316328177
0.865,56.3069470926904
0.87,56.0434263742517
0.875,56.816808436133
0.88,55.7290536549725
0.885,56.0276455444051
0.89,57.4274148188101
0.895,57.4015352289143
0.9,59.1194967377542
0.905,58.5413209895751
0.91,57.0837928067999
0.915,57.7755404111572
0.92,56.204710573086
0.925,55.7883163923248
0.93,56.3006639503147
0.935,57.0095182713887
0.94,54.5002233509734
0.945,54.653385768089
0.95,52.62349200423
0.955,56.9981969647113
0.96,56.279445534607
0.965,56.1895558335835
0.97,56.7144028968511
0.975,57.4717634958682
0.98,56.9553238885292
0.985,57.2690133118334
0.99,59.8019783326892
0.995,55.6452023411456
1,55.5122864747391
1.005,55.1059007378302
1.01,52.8935947622881
1.015,54.3148348665992
1.02,55.1753032678097
1.025,55.7684262373353
1.03,56.2108715347592
1.035,56.5553970651791
1.04,58.7010962330139
1.045,56.6319031246798
1.05,56.8519583508898
1.055,57.9804339900318
1.06,57.1983920947593
1.065,57.7516607676112
1.07,57.7888777074971
1.075,56.0159147826007
1.08,54.6089485151272
1.085,54.3693460445841
1.09,54.1111654614954
1.095,53.8786038763555
1.1,55.1476722778747
1.105,53.833359520711
1.11,53.8235317921858
1.115,55.2360398818187
1.12,54.7667038085081
1.125,54.2318100905096
1.13,56.7919110660745
1.135,56.4785542930131
1.14,57.9433627789859
1.145,57.9962150970545
1.15,58.1523455730118
1.155,56.708307922022
1.16,57.0869924534947
1.165,54.1676908482793
1.17,55.1099400856184
1.175,55.4925740301404
1.18,55.3109309573408
1.185,53.051517773401
1.19,54.0574349466827
1.195,55.2529762807188
1.2,52.8481322479629
1.205,52.3340358708158
1.21,54.9626832695838
1.215,53.9504178334129
1.22,53.9297827146166
1.225,54.0310565769363
1.23,55.192166665695
1.235,57.2217564110988
1.24,55.0795739705723
1.245,57.2209554489972
1.25,55.9932056726375
1.255,56.6845292359941
1.26,55.8003783061983
1.265,55.492434435183
1.27,59.2533307873581
1.275,56.3697527649407
1.28,55.8829149355902
1.285,54.4997655066978
1.29,54.4803781824375
1.295,53.8242089409701
1.3,52.946719544322
1.305,50.1969897684882
1.31,53.1811347283287
1.315,53.5658461113505
1.32,56.000748065836
1.325,52.2672830218186
1.33,55.4764390136793
1.335,53.6160029250485
1.34,53.1627122458091
1.345,58.9307031177198
1.35,57.792747948639
1.355,55.6100316593579
1.36,60.0217582685463
1.365,55.9014577400403
1.37,58.5545854962797
1.375,59.2771136703694
1.38,55.2476260191907
1.385,55.9063908411685
1.39,54.7455684850878
1.395,57.6576508231279
1.4,54.5632640584959
1.405,54.8887963789795
1.41,56.8963626658452
1.415,54.1638665417288
1.42,53.7437897834408
1.425,52.9782317440436
1.43,52.3110257102732
1.435,52.1887332628506
1.44,52.9013743909573
1.445,51.7416250841238
1.45,52.290346080857
1.455,51.4755473007982
1.46,51.8415588685549
1.465,53.386771760851
1.47,51.8390197492395
1.475,51.1346588314397
1.48,53.6423794995168
1.485,53.4793272595811
1.49,53.2717755847295
1.495,57.8511852646945
1.5,55.3653775285049
1.505,54.2935093784925
1.51,54.428330757834
1.515,53.099711287111
1.52,53.6307262057846
1.525,55.7050988749185
1.53,54.70864556677
1.535,53.4698545513357
1.54,56.1946729014882
1.545,54.3594949169665
1.55,54.4701391073303
1.555,54.6745261198872
1.56,53.927293442398
1.565,54.2997892777325
1.57,55.2375582835263
1.575,54.8204564416247
1.58,55.1227302321205
1.585,53.0922097479023
1.59,53.4435828622037
1.595,52.3647723598499
1.6,52.9435937140243
1.605,54.4054090379758
1.61,54.0360616928069
1.615,52.3472426308413
1.62,50.917653322453
1.625,49.9507386882738
1.63,50.5791242794065
1.635,50.9750241272668
1.64,52.1982508018495
1.645,51.7859393808023
1.65,53.641973069453
1.655,52.3445194480091
1.66,50.7647069988718
1.665,53.8323386697723
1.67,54.1172207458818
1.675,51.391973134337
1.68,54.5765542987762
1.685,53.6867323381895
1.69,54.3919425524853
1.695,51.2889564025889
1.7,53.1174595580834
1.705,54.6329668459432
1.71,54.9189491916251
1.715,50.3753795013562
1.72,54.8005001958811
1.725,55.4802929408066
1.73,50.3189829798811
1.735,52.6337247320297
1.74,53.5616009493681
1.745,54.489720809182
1.75,54.0173040660682
1.755,53.3823475863454
1.76,54.6999886846939
1.765,53.5433795769386
1.77,51.4040225861276
1.775,49.9973379689579
1.78,51.3983464562101
1.785,48.124331498648
1.79,51.7161789540789
1.795,51.2932133262019
1.8,52.0821629806989
1.805,51.0664651898223
1.81,50.3724720186802
1.815,47.162401995995
1.82,51.3510608457701
1.825,51.6765735643661
1.83,51.6171331333742
1.835,52.1700884875476
1.84,51.479428834432
1.845,47.1238480480713
1.85,50.299458554036
1.855,50.8233758917739
1.86,50.9522191246371
1.865,48.8442418319924
1.87,52.2301760771914
1.875,49.6789165214264
1.88,45.6771194387114
1.885,51.0683509999866
1.89,53.9749932635559
1.895,52.364625721545
1.9,52.3174330432643
1.905,50.737530106382
1.91,53.1037090474206
1.915,52.1984409594753
1.92,52.6106743299385
1.925,53.3806091190522
1.93,54.7497208022402
1.935,53.9588709974619
1.94,53.7426361566969
1.945,54.6790801354883
1.95,52.615401987039
1.955,54.5357373591271
1.96,54.2704676943045
1.965,52.4080568489736
1.97,54.0430575862849
1.975,54.20183349316
1.98,52.6411541424376
