t,SNR
0,12.8401846706924
0.005,13.6881896641215
0.01,14.0689696338806
0.015,13.8722306787374
0.02,13.1298900070068
0.025,11.5936291812532
0.03,9.20232630944398
0.035,5.16651599722695
0.04,-2.84501905202141
0.045,-0.828849106712795
0.05,5.75598397335889
0.055,9.77482771993149
0.06,11.9686336686659
0.065,13.218788517301
0.07,13.954008964298
0.075,14.1424826003491
0.08,13.8068410380454
0.085,12.9964933702687
0.09,11.4550865255298
0.095,8.92828510603944
0.1,5.05426557213725
0.105,-3.10787658413736
0.11,-1.9229795304243
0.115,5.63687522597809
0.12,9.51965539713132
0.125,11.6990660551513
0.13,13.0822489555066
0.135,13.8876947368713
0.14,14.2124440639832
0.145,14.0604574446795
0.15,13.4400990482541
0.155,12.2845644986356
0.16,10.4291651127375
0.165,7.49724741821603
0.17,2.45804686510262
0.175,-5.60798194729585
0.18,0.807029387205503
0.185,6.9787876938215
0.19,9.92005365101627
0.195,11.8429546860441
0.2,13.1992794659591
0.205,13.9836965746895
0.21,14.2906110562883
0.215,14.1810701622743
0.22,13.6879235839683
0.225,12.7644204739794
0.23,11.1421217249804
0.235,8.85325853248639
0.24,5.25713776788126
0.245,-1.90958811723334
0.25,-4.17465594286411
0.255,3.52832435142051
0.26,7.83687258395713
0.265,10.6862900898351
0.27,12.2495662832324
0.275,13.3969115649195
0.28,14.0779878097446
0.285,14.360856990888
0.29,14.2936699567232
0.295,13.8559493210813
0.3,13.0955373315832
0.305,11.7765966773866
0.31,7.61140292633041
0.315,3.21184390125605
0.32,4.87900356043642
0.325,1.9904273597835
0.33,-3.21834528744924
0.335,4.4089603906898
0.34,9.63935910924401
0.345,12.53874460315
0.35,13.8930861535246
0.355,13.8196485174203
0.36,13.4475938209087
0.365,12.6073389590218
0.37,13.3286587355333
0.375,13.6230840186516
0.38,14.3486711369238
0.385,15.0077659618952
0.39,13.8770524577667
0.395,11.8131300633477
0.4,7.71392124625324
0.405,2.78989163948637
0.41,-6.02556123904429
0.415,-4.09580432556277
0.42,0.79827515969518
0.425,3.53063935437305
0.43,5.49160440407914
0.435,9.38042991408203
0.44,12.4193850334372
0.445,13.9217976057065
0.45,14.9893214746363
0.455,15.1494992457827
0.46,15.004535123988
0.465,14.1747249133811
0.47,13.5013782126872
0.475,12.4932987527456
0.48,12.1887962260727
0.485,12.0868914821425
0.49,12.0423877392669
0.495,10.9557564837308
0.5,9.62158129588532
0.505,7.11917892881426
0.51,2.699506781051
0.515,-0.165360169929386
0.52,4.32907374846651
0.525,5.44558821971374
0.53,7.09764497945436
0.535,8.46620839069072
0.54,9.73464285392872
0.545,11.0959509297812
0.55,12.8586641970151
0.555,13.7730577150838
0.56,14.9220816155551
0.565,14.9638922793011
0.57,15.1910470989817
0.575,14.5125696654097
0.58,14.0655690520754
0.585,13.7206556126403
0.59,13.401319549275
0.595,13.2656538460812
0.6,12.7943928962682
0.605,12.5137358281958
0.61,11.5964630675476
0.615,10.2072336060548
0.62,8.13764531846098
0.625,5.75877730218519
0.63,2.31074717349887
0.635,-0.978373696593522
0.64,-5.11273307921492
0.645,-5.37817648326971
0.65,-0.308909461092597
0.655,2.80257591795058
0.66,5.46020178088722
0.665,7.42797685220405
0.67,9.14644915152671
0.675,10.2964976089101
0.68,11.1867142859372
0.685,11.8965600242152
0.69,12.7160349223503
0.695,13.2614404188547
0.7,13.4869669896806
0.705,13.7791867300447
0.71,14.0809665492986
0.715,14.3019813170313
0.72,14.5265779826852
0.725,14.6938934309921
0.73,14.7884555542951
0.735,14.8183515763844
0.74,14.5890145100117
0.745,14.4217329986835
0.75,14.2759735497972
0.755,14.1458926092328
0.76,13.9556732973712
0.765,13.7723050611559
0.77,13.3600347008572
0.775,13.0282385242008
0.78,12.6827259306103
0.785,12.4441319027537
0.79,11.8826932850149
0.795,11.5198861340276
0.8,10.9115597649452
0.805,10.3313342144338
0.81,9.71200654630761
0.815,9.35241837616653
0.82,8.89857825443111
0.825,7.98422994493873
0.83,7.17096552275783
0.835,6.31994468527147
0.84,5.16454595410248
0.845,4.79913698508923
0.85,3.92522837448746
0.855,3.08666884236636
0.86,2.05986931234791
0.865,1.53038622875641
0.87,-0.209721686453946
0.875,-1.84612839035728
0.88,-2.58514090239949
0.885,-3.62732723017027
0.89,-2.64680339078218
0.895,-1.9210551022156
0.9,-3.46676791747808
0.905,-6.43714006686896
0.91,-8.25871322105733
0.915,-5.10403887401122
0.92,-2.23082639331641
0.925,-1.34098068963522
0.93,-2.05404952508641
0.935,-4.41091287067216
0.94,-4.52482276676736
0.945,-1.68433966269598
0.95,-1.41562460608617
0.955,-3.20080002985831
0.96,-3.46264460954569
0.965,-3.49034695975516
0.97,-3.65713654031137
0.975,-2.66987393928366
0.98,-2.42358709699799
0.985,-3.20759729103085
0.99,-6.34618650720631
0.995,-6.64374982472819
1,-2.02739124470837
1.005,-2.15625062239475
1.01,-5.10048028688317
1.015,-4.7064837368668
1.02,0.386793951423684
1.025,0.880838867886013
1.03,-2.65171022811224
1.035,-0.131657426506251
1.04,3.57963315652395
1.045,3.23521208873467
1.05,2.61351028683083
1.055,4.32884488629902
1.06,6.0870604631596
1.065,6.33038585623576
1.07,7.0189277986552
1.075,7.66761489064218
1.08,8.02332910887702
1.085,9.62107883907517
1.09,9.92781794901614
1.095,10.0273730562755
1.1,10.7409727832759
1.105,12.1291387977663
1.11,11.5868815519662
1.115,12.1398033803177
1.12,14.0303606784327
1.125,12.7150648520374
1.13,12.8728990538055
1.135,13.9384885051229
1.14,13.9338006722022
1.145,14.2103245147707
1.15,14.2779170774343
1.155,14.2900172056967
1.16,14.8153357929904
1.165,15.0005478224573
1.17,14.1873997540718
1.175,15.1906308240794
1.18,14.807490673739
1.185,14.3406412824082
1.19,14.9183529302054
1.195,14.1154774579456
1.2,13.2806603212102
1.205,12.1153273429784
1.21,13.7315306826925
1.215,12.1077065061556
1.22,12.0390131695155
1.225,9.34730211915587
1.23,3.59507913503379
1.235,7.34786400842466
1.24,7.57772710617968
1.245,4.45163436959578
1.25,1.68843862335157
1.255,-3.27106153885158
