t,SNR
0,-1.93875314424784
0.005,-11.0338645160829
0.01,-12.5651574741899
0.015,-4.75719306195822
0.02,-10.2219778509055
0.025,-12.4506035455747
0.03,-22.7900053041089
0.035,-9.92499335647969
0.04,-16.3730251276261
0.045,-16.8995518281966
0.05,-8.83549517032537
0.055,-7.99300732859507
0.06,-11.4041872721688
0.065,-19.9954320140578
0.07,-8.29816605756102
0.075,-10.028021129175
0.08,-16.9377123816136
0.085,-13.6844777957447
0.09,-10.3611814710265
0.095,-14.7643497544476
0.1,-15.4395527414128
0.105,-9.87015887178258
0.11,-8.80235769107742
0.115,-24.2108659632743
0.12,-14.2442322089018
0.125,-13.5291515940587
0.13,-9.88564031721386
0.135,-8.88032145022557
0.14,-2.90549088273677
0.145,-13.5190588866455
0.15,-6.02706220527791
0.155,-10.2908202438461
0.16,-15.8724132676332
0.165,-15.6175188932258
0.17,-22.6689502152477
0.175,-10.1320916613353
0.18,-11.2228325709392
0.185,-10.9934390140713
0.19,-10.7860323289244
0.195,-25.5670793674331
0.2,-22.891345485615
0.205,-12.3155137767129
0.21,-9.88692811540281
0.215,-9.06506340157162
0.22,-9.23376621539582
0.225,-6.71931757450898
0.23,-7.61832885531199
0.235,-15.5806733125489
0.24,-24.6493054450387
0.245,-14.7656267408652
0.25,-8.80042188235277
0.255,-14.792778948117
0.26,-4.18538375918472
0.265,-13.701721298224
0.27,-10.8159158774668
0.275,-15.991528300524
0.28,-3.11983037150587
0.285,-10.3022371604296
0.29,-10.7851042277249
0.295,-19.1588637010939
0.3,-11.8222236957371
0.305,-3.91744307075459
0.31,-0.956666793403542
0.315,-6.94895043292588
0.32,-22.2094347386089
0.325,-8.94679671056966
0.33,-12.3403070254618
0.335,-25.9225473742405
0.34,-21.5988912191705
0.345,-11.4169511921284
0.35,-7.39459913839144
0.355,-13.2677160628079
0.36,-10.7505078939498
0.365,-2.38991357425654
0.37,-5.55407093337874
0.375,-7.65013814646861
0.38,-15.4008812477537
0.385,-15.1066850720986
0.39,-8.69764092610279
0.395,-10.2803692219107
0.4,-13.3361483660907
0.405,-11.4992300679302
0.41,-9.24107455059051
0.415,-11.567385478891
0.42,-12.7216571234077
0.425,-17.3471479327089
