t,SNR
0,5.38860347709851
0.005,-0.775529652066183
0.01,-1.80618189772144
0.015,-0.470731864495519
0.02,-0.63654232511017
0.025,-3.44046595629493
0.03,-4.23284859864047
0.035,-0.2194663160262
0.04,-5.79627115507186
0.045,-1.68311625710257
0.05,0.736058218637055
0.055,-0.511512428000245
0.06,-6.22386802453043
0.065,-3.69849625322642
0.07,-2.62661188917517
0.075,-2.17228408227621
0.08,-6.3488591550597
0.085,-2.25650591277508
0.09,-1.90897665757949
0.095,-4.59231518971276
0.1,0.444341355574309
0.105,2.91545762198942
0.11,1.02804791375524
0.115,-5.78911941676222
0.12,-1.85837856778224
0.125,0.377379879700854
0.13,-1.57233815000599
0.135,-0.561808993469811
0.14,4.08981491072923
0.145,-3.16105207471546
0.15,3.23227387408841
0.155,0.552385718400942
0.16,-4.02618324750732
0.165,-3.98281568606994
0.17,-2.93088875351452
0.175,-2.85153587904006
0.18,-1.50070504466103
0.185,1.73235004141868
0.19,-0.462887674410553
0.195,-4.89602289566099
0.2,-10.1570851539157
0.205,-7.61354892584203
0.21,-0.893447729683459
0.215,2.17158373686178
0.22,-0.984824813204028
0.225,-2.18868432845227
0.23,1.71823286764987
0.235,-1.28862354457755
0.24,-4.99912644122674
0.245,-2.38431449302354
0.25,-1.55981674962288
0.255,-0.165782150270587
0.26,2.78163200329512
0.265,-1.65456690682227
0.27,0.144741481043098
0.275,-1.91120385055484
0.28,3.40421022460441
0.285,-2.91506096963548
0.29,-3.20159426171362
0.295,-5.96543258250483
0.3,-3.0768700588294
0.305,4.82860348267576
0.31,5.60667235192921
0.315,1.26443328758776
0.32,-0.853469724138819
0.325,2.07014188177897
0.33,-0.480800162591493
0.335,-3.63825378991302
0.34,-7.29732287965921
0.345,-1.55189142027423
0.35,1.2759051811143
0.355,-7.15760384747196
0.36,2.78358937118229
0.365,2.65970947093868
0.37,1.78563594534836
0.375,4.60382975458766
0.38,1.57143270827156
0.385,-2.69218233872535
0.39,-2.63340913777091
0.395,-3.85434380298774
0.4,-4.00463804594047
0.405,1.54184957356918
0.41,0.924553937114425
0.415,-4.33886403384042
0.42,-2.8831817961466
0.425,-3.47978344425938
0.43,-3.19566201694781
0.435,-0.422572650264499
0.44,1.9307899538331
0.445,-2.85227691545512
0.45,-4.88618013496011
0.455,-8.43232289373331
0.46,-0.830080640340256
0.465,-0.927348090760844
0.47,-1.7639893834863
0.475,3.39755433917188
0.48,-6.42360118648936
0.485,1.28511409376337
0.49,2.19713278866047
0.495,0.0210186230972624
0.5,-1.93778061694495
0.505,-4.8126026498802
0.51,-0.105528317996274
0.515,-11.9013430363026
0.52,-2.12467439917451
0.525,-4.77133925500509
0.53,-4.3039560363006
0.535,-3.04368793579617
0.54,1.8543829084319
0.545,-1.25393802883882
0.55,-4.45058765880074
0.555,-3.23133198493635
0.56,0.111435787507247
0.565,-2.42940337200351
0.57,1.00554061925111
0.575,-0.0223961477111061
0.58,2.88664360085657
0.585,-6.86517163661524
0.59,1.15992450229102
0.595,0.447169995645424
0.6,1.61008007534227
0.605,0.798541986050736
0.61,-6.05099591710361
0.615,0.88079992178352
0.62,-4.98079346790257
0.625,-6.04831840415511
0.63,-6.71053521893967
0.635,-2.24233644608567
0.64,-2.01415589193913
0.645,1.78624798159045
0.65,-5.44366792589551
0.655,2.29408716421898
0.66,-3.64418140643338
0.665,-1.89546631950414
0.67,1.11534111703166
0.675,-5.48169523698105
0.68,-1.12129224068886
0.685,-3.90417859544748
0.69,-0.0305687032613804
0.695,-5.49691384518809
0.7,3.43529742983731
0.705,-4.73335083607202
0.71,-7.15411792451106
0.715,-5.77179181670392
0.72,-1.60956841648596
0.725,-10.0151199810484
0.73,-2.76695066904664
0.735,-3.87011988346505
0.74,2.20067733087055
0.745,-3.79879042509458
0.75,-4.38762892068951
0.755,-3.92173033945926
0.76,-7.30061058013752
0.765,6.57075877824617
0.77,3.75403914040918
0.775,2.42469363508179
0.78,0.703505835436999
0.785,2.99207271457709
0.79,2.2986034583236
0.795,-1.59748607998374
0.8,-5.69283572640059
0.805,0.0742860330992983
0.81,-0.405945590872335
0.815,-1.0316980838695
0.82,3.43153630352759
0.825,-4.38360245838675
0.83,-1.16216357165818
0.835,-0.39363271291927
0.84,-2.08125632276314
0.845,1.83402605733332
0.85,-7.18559044055972
0.855,-4.69536446464623
0.86,1.87491890552074
0.865,7.15779346275234
0.87,4.76468254766233
0.875,5.64529443911336
0.88,1.06980947679831
0.885,-4.27577148294421
0.89,-5.39473299918797
0.895,-0.914592178762661
0.9,2.07299873887494
0.905,5.77511388790433
0.91,-2.04573430648932
0.915,-6.73945654720023
0.92,-6.6674619249567
0.925,-1.84278779797543
0.93,-2.59464391019361
0.935,-0.922396542861307
0.94,-0.164961620140858
0.945,-2.56861319548375
0.95,1.08651689250233
0.955,2.16545189813526
0.96,1.72139700521058
0.965,-0.710126683850646
0.97,0.951800788806807
0.975,-2.28561960341499
0.98,-6.36078997052397
0.985,5.28745630472199
0.99,3.08411413699741
0.995,-5.19745104683315
1,-4.57482285254193
1.005,3.5939237682998
1.01,-1.40644812165414
1.015,-1.92699598256537
1.02,4.92067641640732
1.025,1.8496304891091
1.03,1.31690783723218
1.035,-2.20851988350582
1.04,1.09782752188282
1.045,1.69463682209687
1.05,-3.03099156013023
1.055,8.25260747216321
1.06,-0.510927944396855
1.065,-7.19500962809826
1.07,1.14945671385701
1.075,7.85130639682299
1.08,-0.834431591939648
1.085,6.55198310144613
1.09,7.55211511499222
1.095,4.19410080729736
1.1,5.92581736151541
1.105,-2.97824884397866
1.11,3.3941732120598
1.115,8.76423829168324
1.12,7.3469565842279
1.125,-1.09227307830233
1.13,7.44722506036527
1.135,10.4010229424019
1.14,0.606659595214722
1.145,-0.165666405271679
1.15,5.96397697523682
1.155,7.96740159222317
1.16,3.17733518446077
1.165,0.0970402933133698
1.17,-0.350033636130803
1.175,2.63803912134844
1.18,6.94551540102367
1.185,7.11765487890509
1.19,2.87626324925125
1.195,4.56556692113571
1.2,3.14051733479425
1.205,8.4089734258695
1.21,7.18631487857505
1.215,3.46113101737507
1.22,8.61515041316879
1.225,9.04049943884425
1.23,5.53659109153324
1.235,1.57231835744642
1.24,3.58926614378642
1.245,5.29894464612786
1.25,7.11350549347752
1.255,9.73220692383384
1.26,4.7795327419455
1.265,0.866202012985227
1.27,-2.62315145206529
1.275,9.66758701344699
1.28,5.92954715815753
1.285,3.61889149839439
1.29,5.35136882787626
1.295,-1.02403657120675
1.3,2.65436114567353
1.305,5.13027991495962
1.31,4.29065866638275
1.315,4.21837643155395
1.32,5.85877825295803
1.325,8.13905399670017
1.33,1.69281139559342
1.335,5.28918096209395
1.34,6.38382752267319
1.345,6.65351984137629
1.35,2.03278232367867
1.355,3.8870412634368
1.36,6.51047997437277
1.365,4.05301231151419
1.37,5.68784370715073
1.375,7.20099584789492
1.38,3.21287858868331
1.385,5.03770654616595
1.39,6.87223194573693
1.395,-0.76921003881111
1.4,1.29085676921592
1.405,2.50766511822017
1.41,12.7935040648811
1.415,0.0495421036324615
1.42,7.95848520921109
1.425,8.67508062629034
1.43,9.13016127049181
1.435,4.55494046151564
1.44,2.65134072317593
1.445,1.93628178424539
1.45,5.70002483539518
1.455,7.83351860237575
1.46,3.54550741487043
1.465,2.885518828638
1.47,12.3574576282706
1.475,8.22199983508092
1.48,5.67430114111124
1.485,4.93697838042362
1.49,4.26603460701033
1.495,5.02885641263624
1.5,2.11693701668122
1.505,8.66661748878438
1.51,7.2451031302658
1.515,8.59697183517238
1.52,5.56599368453804
1.525,5.22513768911845
1.53,7.7045815901094
1.535,10.1234289092409
1.54,-0.463034613344362
1.545,9.33378875650341
1.55,8.43847633280626
1.555,6.21868254838022
1.56,6.24242231511981
1.565,0.421859131629589
1.57,0.525480701895091
1.575,3.65305528098719
1.58,8.82929586679529
1.585,1.91242932698081
1.59,3.09618538853515
1.595,6.4277717515193
1.6,-1.76104899695977
1.605,2.48263842402942
1.61,6.04120333937865
1.615,6.29638542771163
1.62,11.5057116303496
1.625,10.5383295697835
1.63,6.35819717931659
1.635,1.27706705292674
1.64,9.14870171892406
1.645,7.65013045248534
1.65,5.59297677187664
1.655,-0.721510649562163
1.66,10.1299828090242
1.665,8.76935396859794
1.67,4.81597502800395
1.675,7.02064003504287
1.68,2.25410927218441
1.685,4.59319717186669
1.69,11.8579498315724
1.695,6.53333076418096
1.7,10.4909772300038
1.705,-1.57213351986249
1.71,10.2961231068655
1.715,13.7769923775433
1.72,11.4124733646302
1.725,6.74358266205357
1.73,11.0770901520695
1.735,11.1019040199818
1.74,2.97705617520442
1.745,5.27598058688248
1.75,5.7015744289556
1.755,9.60584193014591
1.76,12.9544551001597
1.765,2.93572813660911
1.77,11.8704118262569
1.775,11.7838650211369
1.78,9.03717169848271
1.785,12.841581337329
1.79,6.74001064264158
1.795,10.1354260193933
1.8,5.42559776098089
1.805,10.4731844442162
1.81,7.17153803749818
1.815,4.69206680152645
1.82,10.689105428627
1.825,9.56744392209771
1.83,3.12784481910904
1.835,6.97768158985019
1.84,4.26999839580543
1.845,12.2152759663841
1.85,0.154098120055806
1.855,2.17651743411319
1.86,-0.94690973543419
1.865,14.2611121366247
1.87,5.19466077742703
1.875,7.97887889329016
1.88,11.010529767565
1.885,9.60719110082434
1.89,9.78940939069383
1.895,-0.914235796710841
1.9,8.38122893243956
1.905,9.43252714547236
1.91,1.37872686475811
1.915,9.5486829601481
1.92,4.89093149637137
1.925,7.84274783547042
1.93,4.90136928105694
1.935,5.30998430073036
1.94,4.59018712028004
1.945,1.2424926450136
1.95,7.99846929184413
1.955,3.21262694767087
1.96,2.16427640071041
1.965,6.83860760884052
1.97,10.599694945022
1.975,9.6394592831402
1.98,5.93791949742247
1.985,10.12445989234
1.99,4.59062355805764
1.995,7.23473738091349
2,13.2733075082904
2.005,6.61570843928835
2.01,4.72022877292723
2.015,4.40859472483078
2.02,1.02148825852541
2.025,4.39594414043655
2.03,-0.0446277828568924
2.035,5.43841697526366
2.04,11.3301537572453
2.045,6.13472492272531
2.05,2.79131581469369
2.055,4.13753173339529
2.06,4.79965884329829
2.065,7.71931128937014
2.07,3.08205782683078
2.075,11.8709672415463
2.08,6.07286063467053
2.085,6.30140738295768
2.09,5.83164101086261
2.095,-1.57152178018953
2.1,10.5225986854794
2.105,8.32107972208337
2.11,7.64896694051687
2.115,8.12436090412274
2.12,4.96028026367054
2.125,1.65898760399577
2.13,5.28430651344081
2.135,12.8380320380613
2.14,6.9633080492944
2.145,6.55735888908995
2.15,12.8921782513856
2.155,3.06798920291428
2.16,4.50277280816948
2.165,6.43215310633344
2.17,1.94049203485019
2.175,7.79544171934383
2.18,11.4451971092335
2.185,6.61153384155551
2.19,4.72924032942466
2.195,3.03158882026867
2.2,6.90256452822712
2.205,8.06960679026326
2.21,4.09501724573946
2.215,6.58744155126354
2.22,4.55122204655638
2.225,4.6405349721188
2.23,7.27269517110368
2.235,7.19348982040341
2.24,-1.26985015274181
2.245,3.9694853670162
2.25,3.094955232815
2.255,7.40543439225175
2.26,11.8057600471163
2.265,5.72864662174483
2.27,6.05810046199906
2.275,10.3425458508995
2.28,7.75762603659021
2.285,11.1178113083169
2.29,13.214007295319
2.295,5.38649364147037
2.3,4.16931146307313
2.305,2.95110182292137
2.31,1.66138030768812
2.315,8.17059842680322
2.32,7.67945749557728
2.325,7.71556972351961
2.33,12.6631223222733
2.335,8.88163875154959
2.34,10.0929300566835
2.345,3.84752434787353
2.35,6.79380685907385
2.355,-3.84806581706961
2.36,13.4317521973131
2.365,7.3617748672776
2.37,5.6824861956065
2.375,7.21233072807259
2.38,9.56908428901961
2.385,2.99761771720664
2.39,7.10844494897231
2.395,7.68295885115685
2.4,6.8864947098964
2.405,3.89915012643854
2.41,4.12712817687964
2.415,9.7962108070201
2.42,4.92861230869012
2.425,3.34491853609319
2.43,6.95801530897151
2.435,9.96404443866288
2.44,11.2056651161531
2.445,0.00819769464808928
2.45,10.0024567418785
2.455,9.95559147578165
2.46,0.0941038993355789
2.465,11.0765123915548
2.47,2.23063749568757
2.475,8.36414397947225
2.48,1.77185911928427
2.485,6.71022522168174
2.49,12.5694207100213
2.495,1.99649535349874
2.5,2.49946979699895
2.505,-0.650342935387854
2.51,5.59115237039181
2.515,9.00169733404019
2.52,8.62499786932248
2.525,4.74332217437339
2.53,0.383130285152191
2.535,7.34404131732921
2.54,-0.712015122084182
2.545,10.8980181544029
2.55,7.59316413102619
2.555,9.61802198731554
2.56,12.8160344872782
2.565,2.36170418431161
2.57,-1.73535331263997
2.575,4.41895806391587
2.58,2.89046506799809
2.585,5.58945735685401
2.59,1.04416916577634
2.595,8.93707008252555
2.6,6.54176962574201
2.605,3.1753919080255
2.61,8.22609276686222
2.615,9.0070606017708
2.62,6.60495225135506
2.625,1.54266946067452
2.63,9.3708972635439
2.635,13.2424917331366
2.64,6.32785642449811
2.645,12.626421547531
2.65,7.659586580119
2.655,13.7149305013992
2.66,7.47015850313386
2.665,9.86461209544346
2.67,11.8010718718118
2.675,8.88359474370151
2.68,12.3809717787148
2.685,12.5862926917169
2.69,14.2587777526359
2.695,10.4147714179221
2.7,10.5408779379599
2.705,13.1132245834052
2.71,12.9211668444028
2.715,11.1995716251036
2.72,3.97957060148705
2.725,5.63067498276745
2.73,16.4257560690202
2.735,10.8018782517964
2.74,11.4977999816754
2.745,8.18520861206979
2.75,0.536289217198942
2.755,5.02445297482873
2.76,9.51567052538316
2.765,8.62303543219682
2.77,10.5406024297238
2.775,15.0751310949142
2.78,10.7556080300513
2.785,7.72363668785242
2.79,17.1120503951435
2.795,8.68635149257014
2.8,12.8743069412014
2.805,12.6768963696516
2.81,10.1771365178703
2.815,11.3937005316796
2.82,12.4300402844831
2.825,10.8201246578853
